AdsVariableName, Type,Description
EM0X._EMB0X_HS1_TS2_LOW_LIMIT_SP,float,OP signal
EM0X._EMB0X_HS1_TS2_HIGH_LIMIT_SP,float,Min scale setpoint
EM0X._COOLING_FREE_MODE_V,bool,Max scale setpoint
EM0X._COOLING_MODE_ACTIVE_V,bool,Min scale setpoint
MODULE.CS10.P2A._M, bool,Max scale setpoint
MODULE.CS10.P3A._M, bool,OP signal
MODULE.CS10.P4A._M, bool,OP signal
MODULE.CS10.P5A._M, bool,
MODULE.CS10.P6A._M, bool,Max scale setpoint
MODULE.CS10.P7A._M,,OP signal
MODULE.CS10.P8A._M, bool,Min scale setpoint
